Description,Carbohydrate (g),Protein (g),Total Fat (g),Kilocalories,Fiber (g),Sugar Total (g),Calcium (mg),Iron (mg),Vitamin C (mg),Vitamin E (mg),Sodium (mg),Cholesterol (mg)
"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ VIT A",5.49,3.95,1.98,56,0.0,5.260000229,143,0.06,1.1,0.04,59,8
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ VIT A",4.99,3.37,0.97,42,0.0,5.199999809,119,0.03,0.0,0.01,44,5
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ NONFAT MILK SOL&VIT A",4.97,3.48,0.97,43,0.0,0.0,128,0.05,1.0,0.0,52,4
"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ VIT A",5.52,3.93,1.17,48,0.0,0.0,142,0.06,1.2,0.0,58,4
"MILK,NONFAT,FLUID,W/ VIT A (FAT FREE OR SKIM)",4.96,3.37,0.08,34,0.0,5.090000153,125,0.03,0.0,0.01,42,2
"MILK,NONFAT,FLUID,W/ NONFAT MILK SOL&VIT A (FAT FREE/SKIM)",5.02,3.57,0.25,37,0.0,5.019999981,129,0.05,1.0,0.0,53,2
"MILK,NONFAT,FLUID,PROT FORT,W/ VIT A (FAT FREE/SKIM)",5.56,3.96,0.25,41,0.0,0.0,143,0.06,1.1,0.0,59,2
"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",4.79,3.31,0.88,40,0.0,4.789999962,116,0.05,1.0,0.05,105,4
"MILK,LOW SODIUM,FLUID",4.46,3.1,3.46,61,0.0,4.460000038,101,0.05,0.9,0.06,3,14
"MILK,DRY,WHOLE",38.42,26.32,26.71,496,0.0,38.41999817,912,0.47,8.6,0.48,371,97
"MILK,DRY,NONFAT,REG,WO/ VIT A",51.98,36.16,0.77,362,0.0,51.97999954,1257,0.32,6.8,0.0,535,20
"MILK,DRY,NONFAT,INST,W/ VIT A",52.19,35.1,0.72,358,0.0,52.18999863,1231,0.31,5.6,0.01,549,18
"MILK,DRY,NONFAT,CA RED",51.8,35.5,0.2,354,0.0,0.0,280,0.32,6.7,0.0,2280,2
"MILK,BUTTERMILK,DRIED",49.0,34.3,5.78,387,0.0,49.0,1184,0.3,5.7,0.1,517,69
"MILK,CND,COND,SWTND",54.4,7.91,8.7,321,0.0,54.40000153,284,0.19,2.6,0.16,127,34
"MILK,CND,EVAP,WO/ VIT A",10.04,6.81,7.56,134,0.0,10.03999996,261,0.19,1.9,0.14,106,29
"MILK,CND,EVAP,NONFAT",11.35,7.55,0.2,78,0.0,11.35000038,290,0.29,1.2,0.0,115,4
"MILK,CHOC,FLUID,COMM,",10.34,3.17,3.39,83,0.800000012,9.539999962,112,0.24,0.9,0.06,60,12
"MILK,CHOC,FLUID,COMM,RED FAT",12.13,2.99,1.9,76,0.699999988,9.550000191,109,0.24,0.0,0.04,66,8
"MILK,CHOC,FLUID,COMM,LOWFAT",10.44,3.24,1.0,63,0.5,9.93999958,115,0.24,0.9,0.02,61,3
"MILK,CHOC BEV,HOT COCOA,HOMEMADE",10.63,3.52,2.33,77,1.0,9.670000076,105,0.48,0.2,0.03,44,8
"MILK,GOAT,FLUID",4.45,3.56,4.14,69,0.0,4.449999809,134,0.05,1.3,0.07,50,11
"MILK,HUMAN,MATURE,FLUID",6.89,1.03,4.38,70,0.0,6.889999866,32,0.03,5.0,0.08,17,14
"MILK,INDIAN BUFFALO,FLUID",5.18,3.75,6.89,97,0.0,0.0,169,0.12,2.3,0.0,52,19
"MILK,SHEEP,FLUID",5.36,5.98,7.0,108,0.0,0.0,193,0.1,4.2,0.0,44,27
"MILK SHAKES,THICK CHOC",21.15,3.05,2.7,119,0.300000012,20.85000038,132,0.31,0.0,0.05,111,11
"MILK SHAKES,THICK VANILLA",17.75,3.86,3.03,112,0.0,17.75,146,0.1,0.0,0.05,95,12
"WHEY,ACID,FLUID",5.12,0.76,0.09,24,0.0,5.119999886,103,0.08,0.1,0.0,48,1
"WHEY,ACID,DRIED",73.45,11.73,0.54,339,0.0,73.44999695,2054,1.24,0.9,0.0,968,3
"WHEY,SWEET,FLUID",5.14,0.85,0.36,27,0.0,5.139999866,47,0.06,0.1,0.0,54,2
"WHEY,SWEET,DRIED",74.46,12.93,1.07,353,0.0,74.45999908,796,0.88,1.5,0.02,1079,6
"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",4.66,3.47,3.25,61,0.0,4.659999847,121,0.05,0.5,0.06,46,13
"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",7.04,5.25,1.55,63,0.0,7.039999962,183,0.08,0.8,0.03,70,6
"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",7.68,5.73,0.18,56,0.0,7.679999828,199,0.09,0.9,0.0,77,2
"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",13.8,4.93,1.25,85,0.0,13.80000019,171,0.07,0.8,0.02,66,5
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",18.64,3.98,1.15,99,0.0,18.63999939,138,0.06,0.6,0.02,53,5
"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",19.05,4.37,1.08,102,0.0,19.04999924,152,0.07,0.7,0.02,58,4
"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",18.6,4.86,1.41,105,0.0,0.0,169,0.07,0.7,0.0,65,6
"EGG,WHOLE,RAW,FRESH",0.77,12.58,9.94,143,0.0,0.769999981,53,1.83,0.0,0.97,140,423
"EGG,WHITE,RAW,FRESH",0.73,10.9,0.17,48,0.0,0.709999979,7,0.08,0.0,0.0,166,0
"EGG,YOLK,RAW,FRSH",3.59,15.86,26.54,317,0.0,0.560000002,129,2.73,0.0,2.58,48,1234
"EGG,YOLK,RAW,FROZEN",1.15,15.5,25.6,303,0.0,0.50999999,138,3.34,0.0,2.49,67,1075
"EGG,YOLK,RAW,FRZ,SUGARED",10.8,13.8,22.75,307,0.0,0.0,123,3.14,0.0,0.0,67,959
"EGG,WHL,CKD,FRIED",0.88,13.63,15.31,196,0.0,0.829999983,59,1.98,0.0,1.22,204,457
"EGG,WHL,CKD,HARD-BOILED",1.12,12.58,10.61,155,0.0,1.120000005,50,1.19,0.0,1.03,124,424
"EGG,WHOLE,COOKED,OMELET",0.68,10.59,12.03,157,0.0,0.649999976,47,1.55,0.0,1.22,161,356
"EGG,WHL,CKD,POACHED",0.76,12.53,9.9,142,0.0,0.769999981,53,1.83,0.0,0.96,294,422
"EGG,WHL,CKD,SCRMBLD",2.2,11.09,12.21,167,0.0,1.730000019,71,1.2,0.2,1.09,280,352
"EGG,WHOLE,DRIED",4.95,47.35,40.95,594,0.0,3.079999924,231,6.79,0.0,3.88,523,1715
"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",2.38,48.17,43.95,615,0.0,0.0,222,8.28,0.0,0.0,548,2017
"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",4.17,76.92,0.04,351,0.0,4.170000076,83,0.23,0.0,0.0,1156,0
"EGG,WHITE,DRIED,PDR,GLUCOSE RED",4.47,82.4,0.04,376,0.0,4.46999979,89,0.24,0.0,0.0,1238,0
"EGG,YOLK,DRIED",3.6,34.25,55.8,666,0.0,3.599999905,284,5.42,0.0,5.42,135,2335
"EGG,DUCK,WHOLE,FRESH,RAW",1.45,12.81,13.77,185,0.0,0.930000007,64,3.85,0.0,1.34,146,884
"EGG,GOOSE,WHOLE,FRESH,RAW",1.35,13.87,13.27,185,0.0,0.939999998,60,3.64,0.0,1.29,138,852
"EGG,QUAIL,WHOLE,FRESH,RAW",0.41,13.05,11.09,158,0.0,0.409999996,64,3.65,0.0,1.08,141,844
"EGG,TURKEY,WHL,FRSH,RAW",1.15,13.68,11.88,171,0.0,0.0,99,4.1,0.0,0.0,151,933
"EGG SUBSTITUTE,FROZEN",3.2,11.29,11.11,160,0.0,3.200000048,73,1.98,0.5,1.59,199,2
"EGG SUBSTITUTE,LIQUID",0.64,12.0,3.31,84,0.0,0.639999986,53,2.1,0.0,0.27,177,1
"EGG SUBSTITUTE,POWDER",21.8,55.5,13.0,444,0.0,21.79999924,326,3.16,0.8,1.26,800,572
"BUTTER,WITHOUT SALT",0.06,0.85,81.11,717,0.0,0.059999999,24,0.02,0.0,2.32,11,215
"CHEESE,PARMESAN,SHREDDED",3.41,37.86,27.34,415,0.0,0.0,1253,0.87,0.0,0.0,1696,72
"CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4",1.6,22.15,31.25,375,0.0,0.50999999,616,0.39,0.0,0.27,650,94
"CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4",2.1,24.73,25.01,334,0.0,0.0,772,0.61,0.0,0.0,681,85
"CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4",7.29,19.61,24.6,328,0.0,7.429999828,574,0.84,0.0,0.22,1596,64
"CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4",8.73,16.41,21.23,290,0.0,0.0,562,0.33,0.0,0.0,1625,55
"MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM)",4.85,3.41,0.18,35,0.0,5.090000153,123,0.04,1.0,0.04,52,2
"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",5.49,3.95,1.98,56,0.0,0.0,143,0.06,1.1,0.0,59,8
"MILK,CND,EVAP,W/ VIT A",10.04,6.81,7.56,134,0.0,0.0,261,0.19,1.9,0.0,106,29
"MILK,DRY,NONFAT,REG,W/ VIT A",51.98,36.16,0.77,362,0.0,51.97999954,1257,0.32,6.8,0.0,535,20
"MILK,DRY,NONFAT,INST,WO/ VIT A",52.19,35.1,0.72,358,0.0,52.18999863,1231,0.31,5.6,0.01,549,18
"CHEESE,GOAT,HARD TYPE",2.17,30.52,35.59,452,0.0,2.170000076,895,1.88,0.0,0.31,346,105
"CHEESE,GOAT,SEMISOFT TYPE",2.54,21.58,29.84,364,0.0,2.539999962,298,1.62,0.0,0.26,515,79
"CHEESE,GOAT,SOFT TYPE",0.89,18.52,21.08,268,0.0,0.889999986,140,1.9,0.0,0.18,368,46
"EGG,YOLK,RAW,FRZ,SALTED",1.6,14.0,23.0,274,0.0,0.0,114,3.75,0.0,0.0,3780,955
"CHEESE SUB,MOZZARELLA",23.67,11.47,12.22,248,0.0,23.67000008,610,0.4,0.1,0.11,685,0
CHEESE FONDUE,3.77,14.23,13.47,229,0.0,0.0,476,0.39,0.0,0.0,132,45
"CHEESE SAU,PREP FROM RECIPE",5.48,10.33,14.92,197,0.100000001,0.0,311,0.35,0.6,0.0,493,38
"CHEESE,MEXICAN,QUESO ANEJO",4.63,21.44,29.98,373,0.0,4.630000114,680,0.47,0.0,0.26,1131,105
"CHEESE,MEXICAN,QUESO ASADERO",2.87,22.6,28.26,356,0.0,2.869999886,661,0.51,0.0,0.24,655,105
"CHEESE,MEXICAN,QUESO CHIHUAHUA",5.56,21.56,29.68,374,0.0,5.559999943,651,0.47,0.0,0.26,617,105
"CHEESE,LOFAT,CHEDDAR OR COLBY",1.91,24.35,7.0,173,0.0,0.519999981,415,0.42,0.0,0.06,612,21
"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",1.91,24.35,32.62,398,0.0,0.49000001,703,0.72,0.0,0.28,21,100
"EGG,WHOLE,RAW,FROZEN",1.05,11.95,10.2,148,0.0,0.0,59,1.85,0.0,0.0,133,432
"EGG,WHITE,RAW,FROZEN",1.05,9.8,0.0,47,0.0,0.0,7,0.05,0.0,0.0,158,0
"EGG,WHITE,DRIED",7.8,81.1,0.0,382,0.0,5.400000095,62,0.15,0.0,0.0,1280,0
"SOUR CREAM,REDUCED FAT",7.0,7.0,14.1,181,0.0,0.300000012,141,0.06,0.9,0.4,70,35
"SOUR CREAM,LIGHT",7.1,3.5,10.6,136,0.0,0.219999999,141,0.07,0.9,0.3,71,35
"SOUR CREAM,FAT FREE",15.6,3.1,0.0,74,0.0,0.389999986,125,0.0,0.0,0.0,141,9
"USDA COMMODITY,CHS,CHEDDAR,RED FAT",2.0,27.2,18.3,282,0.0,0.579999983,905,0.13,0.0,0.16,725,56
"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",7.5,3.86,0.18,47,0.0,7.5,143,0.12,1.1,0.0,59,2
"PARMESAN CHS TOPPING,FAT FREE",40.0,40.0,5.0,370,0.0,1.5,800,5.0,0.0,0.04,1150,20
"CHEESE,CREAM,FAT FREE",7.66,15.69,1.0,105,0.0,5.480000019,351,0.19,0.0,0.02,702,12
"YOGURT,CHOC,NONFAT MILK",23.53,3.53,0.0,108,1.200000048,14.97000027,88,0.42,0.0,0.0,135,1
KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,9.2,12.0,21.0,276,0.300000012,6.699999809,359,0.19,0.4,0.0,1638,75
KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,16.2,16.3,9.5,215,0.200000003,8.199999809,418,0.16,0.4,0.0,1705,35
KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,11.7,22.7,1.0,148,0.200000003,6.699999809,712,0.05,0.2,0.0,1298,16
KRAFT VELVEETA PAST PROCESS CHS SPRD,9.8,16.3,22.0,303,0.0,8.100000381,466,0.18,0.2,0.0,1499,80
KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,11.8,19.6,10.6,222,0.0,8.5,574,0.14,0.1,0.0,1586,42
KRAFT BREAKSTONE'S RED FAT SOUR CRM,6.5,4.5,12.0,152,0.100000001,6.400000095,161,0.06,1.1,0.0,59,50
KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,15.1,4.7,1.3,91,0.0,7.199999809,141,0.05,1.2,0.0,72,9
KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),18.2,3.8,0.8,96,0.200000003,17.39999962,125,0.1,0.0,0.0,52,9
KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT),21.9,3.2,0.8,108,0.200000003,19.60000038,91,0.11,0.0,0.0,45,9
KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),19.9,3.8,0.9,102,0.300000012,17.20000076,108,0.13,0.0,0.0,55,9
KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),9.9,3.4,0.2,55,0.0,7.699999809,95,0.11,0.6,0.0,45,5
"CREAM,HALF & HALF,FAT FREE",9.0,2.6,1.4,59,0.0,5.0,96,0.0,0.7,0.04,144,5
REDDI WIP FAT FREE WHIPPED TOPPING,25.0,3.0,5.0,149,0.400000006,16.0,108,0.03,0.0,0.09,72,16
"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",12.13,2.99,1.9,78,0.699999988,9.550000191,194,0.24,0.0,0.04,66,8
"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",18.6,4.86,1.41,105,0.0,2.900000095,152,0.07,0.7,0.06,58,6
"CHEESE,PARMESAN,DRY GRATED,RED FAT",1.37,20.0,20.0,265,0.0,0.0,1109,0.9,0.0,0.17,1529,88
"CREAM SUB,FLAV,LIQ",35.07,0.69,13.5,251,1.100000024,33.04000092,6,0.59,0.0,1.58,80,0
"CREAM SUB,FLAV,POWDERED",75.42,0.0,21.47,495,1.200000048,58.00999832,5,0.63,0.0,0.41,196,0
"CHEESE,PROVOLONE,RED FAT",3.5,24.7,17.6,274,0.0,0.550000012,756,0.52,0.0,0.15,876,55
"CHEESE,MEXICAN,BLEND,RED FAT",3.41,24.69,19.4,282,0.0,0.560000002,1146,0.13,0.0,0.17,776,62
"EGG MIX,USDA CMDTY",23.97,35.6,34.5,549,0.0,2.460000038,171,3.23,0.0,2.04,576,1110
"ALLSPICE,GROUND",72.12,6.09,8.69,263,21.60000038,0.0,661,7.06,39.2,0.0,77,0
ANISE SEED,50.02,17.6,15.9,337,14.60000038,0.0,646,36.96,21.0,0.0,16,0
"SPICES,BASIL,DRIED",60.96,14.37,3.98,251,40.5,1.710000038,2113,42.0,61.2,7.48,34,0
"SPICES,BAY LEAF",74.97,7.61,8.36,313,26.29999924,0.0,834,43.0,46.5,0.0,23,0
CARAWAY SEED,49.9,19.77,14.59,333,38.0,0.639999986,689,16.23,21.0,2.5,17,0
"SPICES,CARDAMOM",68.47,10.76,6.7,311,28.0,0.0,383,13.97,21.0,0.0,18,0
CELERY SEED,41.35,18.07,25.27,392,11.80000019,0.670000017,1767,44.9,17.1,1.07,160,0
"CHERVIL,DRIED",49.1,23.2,3.9,237,11.30000019,0.0,1346,31.95,50.0,0.0,83,0
CHILI POWDER,54.66,12.26,16.76,314,34.20000076,7.190000057,278,14.25,64.1,29.05,1010,0
"CINNAMON,GROUND",80.59,3.99,1.24,247,53.09999847,2.170000076,1002,8.32,3.8,2.32,10,0
"CLOVES,GROUND",61.21,5.98,20.07,323,34.20000076,2.380000114,646,8.68,80.8,8.52,243,0
"CORIANDER LEAF,DRIED",52.1,21.93,4.78,279,10.39999962,7.269999981,1246,42.46,566.7,1.03,211,0
CORIANDER SEED,54.99,12.37,17.77,298,41.90000153,0.0,709,16.32,21.0,0.0,35,0
CUMIN SEED,44.24,17.81,22.27,375,10.5,2.25,931,66.36,7.7,3.33,168,0
CURRY POWDER,58.15,12.66,13.81,325,33.20000076,2.75999999,478,29.59,11.4,21.99,52,0
DILL SEED,55.17,15.98,14.54,305,21.10000038,0.0,1516,16.33,21.0,0.0,20,0
"DILL WEED,DRIED",55.82,19.96,4.36,253,13.60000038,0.0,1784,48.78,50.0,0.0,208,0
FENNEL SEED,52.29,15.8,14.87,345,39.79999924,0.0,1196,18.54,21.0,0.0,88,0
FENUGREEK SEED,58.35,23.0,6.41,323,24.60000038,0.0,176,33.53,3.0,0.0,67,0
GARLIC POWDER,72.71,16.8,0.76,332,9.899999619,24.29999924,80,2.75,18.0,0.63,26,0
